	No,PTID,ADID,Make,Model,Trim,Year,Category,Description,Price,Vin,StockNo,OdoMeter,Thumbnail,ExteriorColor,InteriorColor,BodyStyle,FuelType,DriveType,Transmission,Doors,Condition,SoldTime,UpdateTime,CreateTime
33,5,36337334,Toyota,RAV4,LE,2017,"Sport Utility","SOLD CERTIFIED     PLUS HST AND LICENSING    TOYOTA CERTIFIED VEHICLE    FACTORY POWER TRAIN WARRANTY TILL NOVEMBER 28,2021/100,000KM    *************************************************    FORMER DAILY RENTAL VEHICLE    Carproof History Report OR UCDA claims report provided with each vehicle.",23995.0000,2T3BFREVXHW573639,U6850,32639,http://azr.cdnmedia.autotrader.ca/5/photos/import/201801/1023/1139/de5dc78d-2e75-4080-822e-34b85b5b7f07.jpg,SILVER,"Dark Grey",SUV,Gas,AWD,Automatic,4,,03/12/2018,"03/05/2018 16:41:04","11/24/2017 15:47:44"
34,32,37008466,Toyota,Venza,"4 CYL AWD",2016,"Sport Utility","SOLD CERTIFIED   PLUS HST AND LICENSING  TOYOTA CERTIFIED VEHICLE  FACTORY POWER TRAIN WARRANTY TILL MAY 09,2021/100,000KM  *************************************************  FORMER DAILY RENTAL VEHICLE  Carproof History Report OR UCDA claims report provided with each vehicle.",23995.0000,4T3BA3BB7GU076679,U6886,43156,http://azr.cdnmedia.autotrader.ca/5/photos/import/201801/2714/4550/9ce77a77-d63c-45ef-8999-c7bbaea507b7.jpg,,"Light Grey",SUV,Gas,AWD,Automatic,4,,03/13/2018,"02/07/2018 22:52:14","01/24/2018 14:38:28"
35,33,37008480,Hyundai,"Genesis Coupe","2.0T GT LEATHER SUNROOF",2010,Car,"SOLD CERTIFIED   PLUS HST AND LICENSING    *************************************************  Carproof History Report OR UCDA claims report provided with each vehicle.",11995.0000,KMHHT6KD7AU029336,U6887,108147,http://azr.cdnmedia.autotrader.ca/5/photos/import/201801/2714/4642/0f90213e-a55f-43a8-b1be-bac08951d5d7.jpg,White,Black,Coupe,Gas,RWD,Automatic,2,,03/13/2018,"01/27/2018 14:41:37","01/24/2018 14:42:22"
36,55,37463001,Honda,Accord,"EX-L V6 (A6)",2013,Car,"SOLD CERTIFIED PLUS HST AND LICENSING *************************************************Carproof History Report OR UCDA claims report provided with each vehicle.",16995.0000,1HGCR3F8XDA802137,32003A,125096,http://azr.cdnmedia.autotrader.ca/5/photos/201803/0118/5123/aae26cc4-f2fc-4641-a6aa-f02de66b751f.jpg,Black,Black,Sedan,,FWD,Automatic,4,,03/13/2018,"03/01/2018 18:53:58","02/28/2018 14:07:59"
37,58,37482351,Toyota,Venza,"Base V6",2011,"Sport Utility","SOLD CERTIFIED  PLUS HST AND LICENSING   ************************************************* Carproof History Report OR UCDA claims report provided with each vehicle.",14995.0000,4T3ZK3BB3BU035986,31376A,160664,http://azr.cdnmedia.autotrader.ca/5/photos/201803/0118/4207/0fecbc8e-c675-4d88-8798-2ad0fecc1776.jpg,"Burgundy ",Beige,SUV,,FWD,Automatic,4,,03/13/2018,"03/01/2018 18:42:01","03/01/2018 16:31:12"
38,72,37504932,Toyota,RAV4,LE,2014,"Sport Utility","SOLD CERTIFIED   PLUS HST AND LICENSING TOYOTA CERTIFIED VEHICLE FACTORY POWER TRAIN WARRANTY TILL SEPTEMBER 10,2019/100,000KM ************************************************* Carproof History Report OR UCDA claims report provided with each vehicle.",20995.0000,2T3BFREV5EW195340,31598A,49236,http://azr.cdnmedia.autotrader.ca/5/photos/201803/0820/1715/04452d45-9c63-4a76-826f-0653fc402d29.jpg,Grey,"Dark Grey",SUV,,AWD,Automatic,4,,03/19/2018,"03/08/2018 20:17:11","03/02/2018 20:15:59"
39,74,37557399,Toyota,Corolla,LE,2014,Car,"SOLD CERTIFIED   PLUS HST AND LICENSING TOYOTA CERTIFIED VEHICLE FACTORY POWER TRAIN WARRANTY TILL MARCH 29,2019/100.000KM ************************************************* Carproof History Report OR UCDA claims report provided with each vehicle.",16995.0000,2T1BURHE8EC122460,31589A,24921,http://azr.cdnmedia.autotrader.ca/5/photos/201803/1415/3050/6b06b248-a586-41d6-827d-85bf07153d68.jpg,Grey,"Dark Grey",Sedan,Gas,FWD,Automatic,4,,03/19/2018,"03/14/2018 15:36:28","03/06/2018 14:14:03"
40,29,36985110,Toyota,Venza,"Base, ROOF LEATHER",2014,"Sport Utility","SOLD CERTIFIED   PLUS HST AND LICENSING  TOYOTA CERTIFIED VEHICLE  FACTORY POWER TRAIN WARRANTY TILL MARCH 27,2019/100,000KM  *************************************************  Carproof History Report OR UCDA claims report provided with each vehicle.",19995.0000,4T3ZA3BB6EU081397,U6883,57961,http://azr.cdnmedia.autotrader.ca/5/photos/import/201801/2815/0432/a0512d6a-6f49-4784-8902-70ae2aff23a5.jpg,White,"Light Grey",SUV,Gas,FWD,Automatic,4,,03/19/2018,"01/28/2018 14:59:26","01/22/2018 17:53:46"
41,78,37701987,Toyota,RAV4,LE,2014,"Sport Utility","SOLD CERTIFIED   PLUS HST AND LICENSING  TOYOTA CERTIFIED VEHICLE  FACTORY POWER TRAIN WARRANTY TILL SEPTEMBER 26,2019/100,000KM  *************************************************  Carproof History Report OR UCDA claims report provided with each vehicle.",19995.0000,2T3ZFREV7EW126809,32045A,41082,,White,"Dark Grey",SUV,,FWD,Automatic,4,,03/20/2018,"03/17/2018 17:21:38","03/14/2018 16:48:42"
42,79,37721426,Volkswagen,Rabbit,"5-Door Trendline",2009,Car,"SOLD CERTIFIED   PLUS HST AND LICENSING    *************************************************  Carproof History Report OR UCDA claims report provided with each vehicle.",7995.0000,WVWDA71K69W101190,32048A,165736,,Grey,"Dark Grey",Hatchback,,FWD,Automatic,4,,03/20/2018,"03/15/2018 16:12:17","03/15/2018 16:17:22"
43,82,37780978,Toyota,RAV4,"LE (A6) FWD",2013,"Sport Utility","SOLD CERTIFIED   PLUS HST AND LICENSING  FACTORY POWER TRAIN WARRANTY TILL AUGUST 15, 2018/100,000KM  *************************************************  Carproof History Report OR UCDA claims report provided with each vehicle.",18995.0000,2T3ZFREV3DW013504,32066A,55371,,Grey,"Dark Grey",SUV,Gas,FWD,Automatic,4,,03/21/2018,"03/20/2018 13:42:56","03/19/2018 14:59:55"
44,80,37721431,Toyota,Corolla,LE,2014,Car,"SOLD CERTIFIED   PLUS HST AND LICENSING  TOYOTA CERTIFIED VEHICLE  FACTORY POWER TRAIN WARRANTY TILL AUGUST 20,2019/100,000KM  *************************************************  Carproof History Report OR UCDA claims report provided with each vehicle.",15995.0000,2T1BURHE2EC106836,U6902,47998,,Black,"Dark Grey",Sedan,,FWD,Automatic,4,,03/22/2018,"03/15/2018 16:15:21","03/15/2018 16:18:35"
45,14,36617693,Toyota,Camry,LE,2014,Car,"SOLD CERTIFIED     PLUS HST AND LICENSING    FACTORY POWER TRAIN WARRANTY TILL     *************************************************    Carproof History Report OR UCDA claims report provided with each vehicle.",13995.0000,4T1BF1FK8EU755172,31685A,97228,http://azr.cdnmedia.autotrader.ca/5/photos/import/201802/0722/2416/74f6563f-802a-4bd3-9a3d-62cce11bd250.jpg,White,Beige,Sedan,Gas,FWD,Automatic,4,,03/22/2018,"03/15/2018 16:16:03","12/18/2017 14:43:22"
46,40,37108336,Toyota,Camry,LE,2014,Car,"SOLD CERTIFIED   PLUS HST AND LICENSING  TOYOTA CERTIFIED VEHICLE  FACTORY POWER TRAIN WARRANTY TILL OCTOBER 24,2018/100,000KM  *************************************************  Carproof History Report OR UCDA claims report provided with each vehicle.",16995.0000,4T1BF1FKXEU301988,U6892,87896,http://azr.cdnmedia.autotrader.ca/5/photos/201802/0818/3204/3bb17567-3ba3-40a1-b41a-e47b67d47940.jpg,Black,"Dark Grey",Sedan,,FWD,Automatic,4,,03/22/2018,"02/08/2018 18:34:49","02/01/2018 14:59:40"
47,70,37504147,Toyota,Corolla,S,2015,Car,"SOLD CERTIFIED   PLUS HST AND LICENSING TOYOTA CERTIFIED VEHICLE FACTORY POWER TRAIN WARRANTY TILL DECEMBER 24,2019/100,000KM ************************************************* Carproof History Report OR UCDA claims report provided with each vehicle.",15995.0000,2T1BURHE6FC294326,31900A,72240,http://azr.cdnmedia.autotrader.ca/5/photos/201803/1414/1907/560c9d38-d2a4-4f41-aa3d-ea9f453c2868.jpg,White,"Light Grey",Sedan,,FWD,Automatic,4,,03/23/2018,"03/14/2018 14:22:51","03/02/2018 19:17:43"
48,21,36858377,Toyota,Corolla,CE,2015,Car,"SOLD CERTIFIED     PLUS HST AND LICENSING    TOYOTA CERTIFIED VEHICLE    FACTORY POWER TRAIN WARRANTY TILL AUGUST 01,2020/100,000KM    *************************************************    Carproof History Report OR UCDA claims report provided with each vehicle.",14995.0000,2T1BURHE4FC473710,U6878,26822,http://azr.cdnmedia.autotrader.ca/5/photos/import/201803/2014/3031/3a015250-3c38-442b-8ff2-6a5e194972e4.jpg,Grey,"Dark Grey",Sedan,Gas,FWD,Automatic,4,,03/27/2018,"03/20/2018 14:29:11","01/11/2018 14:26:09"
49,22,36858381,Toyota,Camry,"XSE, WITH NAVIGATION",2017,Car,"SOLD CERTIFIED   PLUS HST AND LICENSING  TOYOTA CERTIFIED VEHICLE  FACTORY POWER TRAIN WARRANTY TILL MARCH 31,2022/100,000KM  *************************************************  Carproof History Report OR UCDA claims report provided with each vehicle.",25995.0000,4T1BF1FK1HU385221,U6879,3868,http://azr.cdnmedia.autotrader.ca/5/photos/import/201803/2014/2851/0f27ec71-6e31-4a1f-ada1-4e850770122a.jpg,White,Black,Sedan,Gas,FWD,Automatic,4,,03/27/2018,"03/20/2018 14:24:17","01/11/2018 14:27:50"
